Area,Item Code,Item,Year,Unit,GDP,Food_insecure,FI_F,FI_M
Iceland,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,52375.7,6.8,16.4,13.2
India,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,6186.6,,,
Indonesia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,11445.6,22.3,,
Iran (Islamic Republic of),22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,14971.2,55.9,49.8,40.4
Iraq,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,9437.5,73.3,73.4,71.2
Ireland,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,90789.2,75,,
Israel,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,39056.4,,,
Italy,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,39071,82.5,82.4,82.5
Jamaica,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,8761,49.9,61.6,53.6
Japan,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,39935.5,10.6,12,9.3
Jordan,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,9816.6,6.3,7,6.2
Kazakhstan,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,25361.5,,,
Kenya,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,4349,6,42.2,42.4
Kiribati,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,2059.1,42.4,39.4,41.2
Kuwait,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,44847.1,,,
Kyrgyzstan,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,4726.2,6.5,4.8,6.6
Lao People's Democratic Republic,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,7810.7,14.2,7.6,8.7
Latvia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,30053.3,6.3,5.1,5.4
Lebanon,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,10786.1,50.3,54.1,44.5
Lesotho,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,2435.9,3.8,2.9,4.8
Liberia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,1392,43,39,41.3
Libya,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,16388.8,2.7,14,13
Lithuania,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,37107.1,69.5,82.6,72.3
Luxembourg,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,112557,41,,
Madagascar,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,1463.8,12.2,10.2,12.7
Malawi,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,1508.8,6.6,27.8,26.1
Malaysia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,26471.7,31.8,32.9,28.3
Maldives,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,12744.4,9.4,8.3,7.3
Mali,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,2225.9,29.1,27.9,26.5
Malta,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,40696.7,54.4,83.6,89.2
Marshall Islands,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,3931.8,80.6,89.7,86.9
Mauritania,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,5109.8,39.4,45.9,32.2
Mauritius,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,19462.9,9.8,9.1,7.4
Mexico,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,17878.3,2.8,2.4,2.4
Micronesia (Federated States of),22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,3368.1,61.1,62.9,56.9
Mongolia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,11723.9,81.3,89.8,88.4
Montenegro,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,18258.9,15.4,15.8,21
Morocco,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,6986.3,13.4,13.1,13.5
Mozambique,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,1229.9,,,
Myanmar,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,4857.4,5.2,6.3,4
Namibia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,8872.6,,,
Nauru,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,13592.8,45.3,51.5,56.4
Nepal,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,3789.2,28.2,27.1,25.2
Netherlands,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,54324.4,26.1,38.1,25.8
New Zealand,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,41642,,,
Nicaragua,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,5284.5,25.7,25.8,23.5
Niger,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,1221.3,14,13.4,15
Nigeria,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,4916.7,31.6,32.3,30.1
North Macedonia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,15779.7,73.7,70.1,67.8
