Area,Item,Year Code,Year,Unit,Value,Flag
Mali,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,80,E
Malta,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,110.3,E
Marshall Islands,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,0,O
Mauritania,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,81.4,E
Mauritius,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,86.7,E
Mexico,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,90.3,E
Micronesia (Federated States of),Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,0,O
Mongolia,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,97.4,E
Montenegro,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,112,E
Morocco,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,99.7,E
Mozambique,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,0,O
Myanmar,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,96,E
Namibia,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,65,E
Nauru,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,0,O
Nepal,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,74,E
Netherlands,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,105,E
New Caledonia,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,86.7,E
New Zealand,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,95,E
Nicaragua,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,64.7,E
Niger,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,83.4,E
Nigeria,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,59.3,E
Niue,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,0,O
North Macedonia,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,83.3,E
Norway,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,115,E
Oman,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,84.7,E
Pakistan,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,66,E
Palau,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,0,O
Palestine,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,0,O
Panama,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,84.7,E
Papua New Guinea,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,64,E
Paraguay,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,69.7,E
Peru,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,88,E
Philippines,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,63.3,E
Poland,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,104.7,E
Portugal,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,115.7,E
Puerto Rico,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,0,O
Qatar,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,0,O
Republic of Korea,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,98,E
Republic of Moldova,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,70.3,E
Romania,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,108.3,E
